pl_name,PC1,PC2,PC3,PC4,Cluster_K4,Familia_Planeta
TOI-1199 b,-0.2582927121879368,-2.0694771193677237,-0.3708491672985036,0.944440669152792,1,Familia 1 (Población Secundaria)
TOI-1203.01,1.2238336998040065,0.6231401323149365,-0.9085075907629556,-1.710502156124999,3,Familia 3 (Población Mayoritaria)
TOI-1221 b,4.448175540417474,1.3401061707017172,-0.1783727742900331,0.2072017555803396,0,Familia 0 (Población Intermedia)
HD 56414 b,4.090345686856609,-1.6287090383075282,3.1509382652909435,-1.3067460277129777,0,Familia 0 (Población Intermedia)
TOI-1238 c,-1.0936608994322103,0.6642086915400266,0.6842708578912168,0.7666234286500702,3,Familia 3 (Población Mayoritaria)
TOI-1238 b,-1.6117563167061546,0.1632314929911217,1.3772616615321076,0.5366528990818027,3,Familia 3 (Población Mayoritaria)
TOI-1248 b,-0.7235696064861235,-0.3419299870075962,-0.4589949181880375,0.617175921391661,1,Familia 1 (Población Secundaria)
TOI-1249 b,0.3676433597034552,0.0398415500613329,-0.7632646088947181,0.5457667244857918,3,Familia 3 (Población Mayoritaria)
TOI-1269 b,-0.8849657447484883,0.0157743218227285,-0.5848701204688888,-0.5222571053041629,3,Familia 3 (Población Mayoritaria)
TOI-1273 b,-0.3424019126104947,-1.0265589545123122,-0.1751159829863001,0.0632299380030684,1,Familia 1 (Población Secundaria)
TOI-1279 b,-0.1907034311271044,0.444917756973695,-0.6956595088581978,-0.5327404265606172,3,Familia 3 (Población Mayoritaria)
TOI-1288 b,-0.958207857580604,-0.8479314144869262,-0.4471115925622237,0.6040788145147538,1,Familia 1 (Población Secundaria)
TOI-1294 b,-0.268281510922463,-1.9812978806490869,-0.6138391848248332,0.4209385803587679,1,Familia 1 (Población Secundaria)
TOI-1295 b,-0.167845119569391,-3.066839199978952,-0.4893339241257851,0.4205170987010325,1,Familia 1 (Población Secundaria)
TOI-1346 c,-0.6537596736314865,0.3763346277309454,0.1627832115221942,-0.3704478201090098,3,Familia 3 (Población Mayoritaria)
TOI-1346 b,-1.325714977973873,-0.2298324783806357,0.3992737695411719,-0.3939409131216478,3,Familia 3 (Población Mayoritaria)
TOI-1347 b,-1.7096827111495223,-0.4972006460143279,-0.4441249544581787,-0.1682661353805824,3,Familia 3 (Población Mayoritaria)
TOI-1347 c,-0.8847419970421689,0.1792627620558967,-0.5775947985426884,-0.2374835664710101,3,Familia 3 (Población Mayoritaria)
TOI-1386 b,1.4356991906834145,0.2806848139786405,-0.9675912258606372,0.3265957473723858,0,Familia 0 (Población Intermedia)
TOI-1408 b,0.0301526773554016,-2.630184224470551,-0.5882633212161364,0.616574659858044,1,Familia 1 (Población Secundaria)
TOI-1410.01,-1.6233298524951056,-0.3960034293017289,-0.3391765438501455,0.8599329728138235,3,Familia 3 (Población Mayoritaria)
TOI-1416 b,-1.746491157656444,-0.4626875164446508,-0.4833525964578104,-0.1862803963385985,3,Familia 3 (Población Mayoritaria)
TOI-1420 b,0.0568230543833659,-0.4723648895343364,0.6058275299358927,0.6859598904953688,1,Familia 1 (Población Secundaria)
HD 235088 b,-0.5493419050874159,0.5014548721330092,-0.6473539153322422,-0.4180191081972679,3,Familia 3 (Población Mayoritaria)
TOI-1437 b,1.213119941452267,0.2387683277909785,0.0513044123498986,-2.2735045684651043,3,Familia 3 (Población Mayoritaria)
TOI-1438 b,-0.746628036843241,0.0192756858424313,-0.5714388620301659,-0.2060763189089964,3,Familia 3 (Población Mayoritaria)
TOI-1438 c,-0.2149834955016774,0.3568199969764198,-0.6702065013359628,-0.1997040394249953,3,Familia 3 (Población Mayoritaria)
TOI-1439 b,2.2628582143775877,-0.6509089633913941,-0.1244089916524882,-0.0371074197784507,0,Familia 0 (Población Intermedia)
TOI-1443 b,0.7461425121480977,1.3560743452496715,-0.8823944468514948,-0.982996317627944,3,Familia 3 (Población Mayoritaria)
TOI-1448 b,-0.4335411511876249,1.7395767173878356,2.195411243508193,1.197472814489884,3,Familia 3 (Población Mayoritaria)
TOI-1450 A b,-1.8019261897116023,1.4705506150350864,0.0868658891738334,-0.461569549572267,3,Familia 3 (Población Mayoritaria)
TOI-1451 b,0.6565503804487755,0.2411371286709803,-0.8917325442991698,-0.3533692362794399,3,Familia 3 (Población Mayoritaria)
TOI-1452 b,-1.171211861655136,2.687775651832585,-0.313948107009212,0.1173047777993713,3,Familia 3 (Población Mayoritaria)
TOI-1453 c,-0.729452549837654,0.8695216570721119,-0.6543316379401353,-1.2277400395031928,3,Familia 3 (Población Mayoritaria)
TOI-1453 b,-1.193600748564258,0.6930587709122638,-0.591701509436587,-1.3482868834151387,3,Familia 3 (Población Mayoritaria)
TOI-1468 c,-0.4241272131166701,2.43147041679821,0.2936543072329954,0.0963236096097895,3,Familia 3 (Población Mayoritaria)
TOI-1468 b,-2.059218321925555,1.618232242692363,-0.1594753435612258,0.109693609314142,3,Familia 3 (Población Mayoritaria)
TOI-1470 b,-1.2158497268205546,1.22436576722811,1.7514189375033884,-0.108827999274175,3,Familia 3 (Población Mayoritaria)
HIP 9618 b,0.8861316205875293,0.5619876589815072,-0.940946554757214,-0.3879842480134756,3,Familia 3 (Población Mayoritaria)
HIP 9618 c,2.5215842928923866,1.2869337059525725,-1.377642659491637,-0.3306275019371985,0,Familia 0 (Población Intermedia)
TOI-1472 b,-0.4401110668107566,-0.1024007459861938,-0.2602498055533663,0.596826644076835,3,Familia 3 (Población Mayoritaria)
HD 6061 b,-0.5385858344885704,-0.3712131311070806,-0.680335367824535,-0.6479973457445785,1,Familia 1 (Población Secundaria)
TOI-1648 b,-0.1864778372778508,0.2402271771630688,0.609580717005969,0.1566538649700847,3,Familia 3 (Población Mayoritaria)
TOI-1669 c,-0.97580947740865,-0.9674793148489084,-0.555620401048558,0.316791965831898,1,Familia 1 (Población Secundaria)
TOI-1680 b,-1.8119209044794056,2.5429753136471525,0.1089895717774066,0.5057549620141623,3,Familia 3 (Población Mayoritaria)
TOI-1683.01,-1.184705394733013,0.2860024635787275,0.0540733386664285,0.2301893728622392,3,Familia 3 (Población Mayoritaria)
TOI-1694 b,-0.7365415194167766,-0.1145377178608342,0.3742553605111086,-0.0253021771800602,3,Familia 3 (Población Mayoritaria)
TOI-1695 b,-1.4102636986538433,1.2001493645704469,0.3365769644136103,-0.0267888656968032,3,Familia 3 (Población Mayoritaria)
TOI-1736 b,-0.0306384034039538,-1.079732422193865,-0.7766791894511372,-0.2704311959384092,1,Familia 1 (Población Secundaria)
TOI-1742 b,1.6543121301680606,0.0925166944806396,1.0099917537952472,-0.1977799552187669,0,Familia 0 (Población Intermedia)
TOI-1743 b,-1.6293548412250884,1.8821419406608024,-0.0805407194291905,0.931776944238547,3,Familia 3 (Población Mayoritaria)
