pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
TOI-1269 b,-0.17204394689180474,-0.12400768738649783,-0.19765444474831947,-0.4129647532488384,-0.3071428571428571,0.18579867219041984,0.17527624309392262,0.09444664292309722,-0.033314753831065275,0.01357649442755811,-0.44074074074074077,0.12806539509536705
TOI-1273 b,-0.11259306328347969,-0.04374616415853551,0.7503960793533053,0.25143988697462916,0.08571428571428573,0.45897992187345577,0.4599447513812155,0.1952249043661786,0.28253284746299423,0.3323201621073962,0.0,-0.3106267029972749
TOI-1279 b,0.42928252731994887,0.40456670073497525,-0.14261051770336058,-0.2813371609609194,-0.3071428571428571,-0.03707237641056559,-0.1643646408839779,0.07228597810315261,-0.04858229441092599,-0.03566362715298897,-0.5518518518518519,0.12261580381471371
TOI-1288 b,-0.47169356427068265,-0.3103115540540666,0.22250712590294702,0.11626933642997847,-0.3071428571428571,0.4438539077522469,0.4495027624309393,0.03587917161324364,0.1322203632323663,0.11995947315096256,0.6925925925925925,-0.0844686648501354
TOI-1294 b,-0.22884859455529363,-0.10276720973681272,0.6877252207486025,0.22284377799232616,-0.3071428571428571,0.6568580578172594,0.7109668508287293,0.20999868091280835,0.9237301614685828,0.530496453900709,0.7888888888888888,-0.9945504087193466
TOI-1295 b,-0.36392921769045017,-0.1635295613739997,0.9910165226171133,0.7913536784742289,-0.13571428571428568,0.8809428819077074,2.046961325966851,0.5065294815987337,1.0857527962266122,0.9807497467071932,0.7037037037037037,-1.0463215258855596
TOI-1346 c,0.010388402628320088,-0.03628405549422344,-0.23629950651054854,-0.3615686147039077,0.4521487586601567,0.058246824610691035,0.06906077348066299,-0.11660730774304182,-0.15119966581596303,-0.154002026342452,-0.2962962962962963,0.3433242506811998
TOI-1346 b,-0.7215268607880002,-0.49893320856992396,-0.20017246253309062,-0.356504556231753,0.6077778632349241,0.6130027421308968,0.6160220994475138,-0.11660730774304182,-0.15119966581596303,-0.154002026342452,-0.2962962962962963,0.3433242506811998
TOI-1347 b,-1.0654117172383533,-0.5958899282899884,-0.3430511986514732,-0.2689802734785802,-0.3071428571428571,0.6527241098721114,0.7209944751381215,0.07597942223981005,-0.06895376214426352,0.03444782168186426,-0.11111111111111112,0.42506811989100735
TOI-1347 c,-0.08119534396265954,-0.08412138729396343,-0.3984270967555053,-0.4129647532488384,-0.3071428571428571,0.15781119011775163,0.1685082872928177,0.07597942223981005,-0.06895376214426352,0.03444782168186426,-0.11111111111111112,0.42506811989100735
TOI-1386 b,1.2223709670046903,1.6472438050381468,0.364380070240147,0.12710376331288456,-0.3071428571428571,-0.240685465677727,-0.36321823204419895,0.21896847381611925,0.22945716683620898,0.2842958459979736,0.2925925925925925,-0.14441416893732953
TOI-1408 b,-0.14436203474154427,-0.00030128678488701487,1.3221397165019526,0.8711449801007295,-0.2907142857142857,0.768695330316664,1.344704854773001,0.420524996702282,0.8926787240016679,0.8429584599797366,0.6666666666666666,-1.0463215258855596
TOI-1410.01,-0.9095610634290964,-0.5689178359519111,-0.0579296299452463,-0.23692167201295786,-0.3071428571428571,0.4049074744049843,0.4954419889502763,-0.3614298905157631,-0.19184008297908406,-0.20648429584599792,0.9555555555555555,0.258855585831062
TOI-1416 b,-0.9682624227733618,-0.5954799273060366,-0.3927011478729397,-0.5599158863617857,-0.3071428571428571,0.6797571396929567,0.8825966850828729,-0.23004880622609156,-0.1295955770165048,-0.19858156028368787,0.037037037037037014,0.09809264305177
TOI-1420 b,0.18285794537828748,0.19761694251513368,0.7978478562601068,-0.04388480875143045,0.907142857142857,0.15878040437394378,0.10911602209944751,0.10025062656641603,0.07821546285574575,0.1843971631205673,0.7777777777777778,0.049046321525885
HD 235088 b,0.23273849190755366,0.19166441819906788,-0.29599437115861876,-0.5191052164669765,-0.3071428571428571,0.007282135962050829,-0.07179790824562846,-0.12927054478301014,-0.16457305444761183,-0.09523809523809532,-0.33333333333333337,0.17983651226157993
TOI-1437 b,0.9640656044552046,1.1925203909820794,-0.23398966642474667,-0.30773473452210875,0.907142857142857,0.010980632881033356,-0.12602736420192076,0.3630127951457591,0.43697787992118214,0.41337386018237093,-2.082962962962963,-0.6103542234332431
TOI-1438 b,-0.03870350507510161,-0.03770506564667374,-0.06909681467337309,-0.31331232752664634,-0.3071428571428571,0.17064398032564926,0.12845303867403315,-0.04748713889988128,-0.08522167822352612,-0.040526849037487364,-0.14814814814814817,0.04359673024523165
TOI-1438 c,0.4141605404914094,0.3751664942236512,-0.12475731863601382,-0.2813371609609194,-0.3071428571428571,-0.05381183269671466,-0.11602209944751381,-0.04748713889988128,-0.08522167822352612,-0.040526849037487364,-0.14814814814814817,0.04359673024523165
TOI-1439 b,1.2779791370322924,1.9032858808989397,0.1256382693476932,0.0774474919367907,0.8142857142857143,0.0174966184712321,-0.17900552486187848,0.2748977707426461,0.9946426079226987,0.6794326241134752,0.5777777777777777,-1.029972752043597
TOI-1443 b,1.1458025282836155,1.290067133608213,-0.21941637178595297,0.006494527476004781,-0.3071428571428571,-0.47357473900685787,-0.49356353591160224,-0.05065294815987337,-0.19979798223969902,-0.2628166160081054,-1.348148148148148,0.21798365122615823
TOI-1448 b,0.2988492654621924,-0.016579238336160648,-0.12495660725507582,-0.11460263145515505,2.2642857142857142,-0.7112682270494814,-0.6243093922651933,-1.0067273446774831,-0.9068701387317316,-1.061803444782168,1.111111111111111,0.9945504087193466
TOI-1450 A b,-0.6385153709603162,-0.4854295490303286,-0.547417419833097,-0.760536052665849,0.1301714364087335,-0.2789927948014085,-0.2154696132596685,-0.9935364727608494,-0.6931590529573655,-0.8429584599797366,-0.7037037037037037,0.7520435967302447
TOI-1451 b,0.8585882447345009,1.0097625021104073,-0.15289027500017272,-0.1835352256165994,-0.3071428571428571,-0.10104275439512007,-0.2136325966850828,0.2537923756760322,0.21872721136379425,0.21519756838905765,-0.18888888888888888,-0.16348773841961747
