pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
TOI-2420 b,5.842641,0.0684,15.02003414,294.62693329,0.055,1017.0,1571.6,,2.369,1.158,,
TOI-2421 b,4.3474032,0.0543,10.36830715,105.83685953,0.0,923.6,1534.0,5607.0,1.75,1.131,0.19,4.005
TOI-2427 b,1.3060011,0.0202,1.8,,,,1117.0,4072.0,0.65,0.64,,4.62
TOI-244 b,7.397225,0.0559,1.52,2.68,,7.3,458.0,3433.0,0.426,0.428,-0.39,4.66
TOI-2443 b,15.66858,0.105,2.363,4.8,0.301,,519.0,4375.0,0.631,0.642,-0.29,4.42
TOI-2445 b,0.3711281,0.0064,1.25,,,,1060.0,3333.0,0.27,0.25,,4.97
TOI-2447 b,69.33684,0.347,9.60609646,124.90656395,0.17,,414.0,5730.0,1.006,1.034,0.18,4.3
TOI-2449 b,106.14468,0.45,11.24,222.0,0.098,,400.0,6021.0,1.065,1.079,-0.03,4.4
TOI-2458 b,3.73659,0.0482,2.83,13.31,0.087,865.0,1509.4,6005.0,1.31,1.05,-0.1,4.2
TOI-2485 b,11.23479,0.1093,12.1393261,766.60211768,0.0341,275.6,1134.0,,1.72,1.163,,
TOI-2497 b,10.655669,0.1166,11.14172682,1531.93292174,0.195,,1595.0,7360.0,2.36,1.859,0.094,3.962
TOI-2498 b,3.738252,0.0491,6.06,34.62,0.089,,1443.0,5905.0,1.26,1.12,0.167,4.297
TOI-251 b,4.93777,0.05741,2.74,317.83,0.0,,,5875.0,0.881,1.036,-0.106,4.56
TOI-2524 b,7.18585,0.073,11.2089807,203.41018048,0.0,,1100.0,5831.0,1.119,1.007,0.06,4.344
TOI-2525 b,23.2856,0.1511,8.67575106,26.69758619,0.17,,,5096.0,0.785,0.849,0.14,4.58
TOI-2525 c,49.2519,0.249,10.13291855,208.8132634,0.157,,,5096.0,0.785,0.849,0.14,4.58
TOI-2529 b,64.5949,0.327,11.54525012,743.71847238,0.021,,636.0,5802.0,1.7,1.11,0.1,4.03
TOI-2537 b,94.1022,0.3715,11.25381662,415.40172795,0.364,,338.0,4870.0,0.771,0.771,0.08,4.551
TOI-2567 b,5.983944,0.0672,10.92875618,63.88350981,0.0,558.0,1352.0,5611.0,1.686,1.13,0.241,4.044
TOI-257 b,18.38818,0.1528,7.16253867,43.86032017,0.0,186.0,1027.0,6095.0,1.867,1.407,0.175,4.044
TOI-2570 b,2.9887615,0.04145,13.64132951,260.61929374,0.0,699.0,1431.0,5771.0,1.095,1.063,0.191,4.385
TOI-2580 b,3.39775,0.048,17.37392009,200.23189641,0.08,1730.0,2410.0,6120.0,1.81,1.33,0.26,4.15
TOI-2583 A b,4.5207265,0.0571,14.4595851,79.45710175,0.0,750.9,1456.0,5936.0,1.477,1.215,0.158,4.184
TOI-2587 A b,5.45664,0.0635,12.07207221,69.28659273,0.0,728.0,1445.0,5760.0,1.726,1.15,0.13,4.024
