pl_name,PC1,PC2,PC3,PC4
TOI-1268 b,-0.07168112334598552,-0.44779062050605317,0.2682901182132771,1.144920050505726
TOI-1269 b,-0.8931038204359532,0.02027783800116623,-0.6228193322627592,-0.4920288872381821
TOI-1272 b,-0.5589968902889693,-0.10970888745382357,1.7307631461428545,-0.13938326422653352
TOI-1273 b,-0.38467899313648724,-1.032007961030474,-0.1675444970037772,0.052171092099020176
TOI-1278 b,0.06393496170930325,1.0179777057499952,-0.127502767465836,0.9164654379155001
TOI-1279 b,-0.2009323682727647,0.43484862348553993,-0.7172181167238454,-0.48006159973711093
TOI-128.01,-0.5049738488885422,-0.6447218901841442,-0.29580366080061304,-0.9546262063269532
TOI-1288 b,-0.980201863803101,-0.8606547311762742,-0.40712639285475183,0.6445979101615337
TOI-1294 b,-0.31168097677181594,-1.9847119422817447,-0.542092369751712,0.47034345339038824
TOI-1295 b,-0.24339942689894056,-3.088830036290471,-0.40206646807487434,0.3927514709514381
TOI-1296 b,-0.20690322598977282,-2.3112720842341092,-0.48665373382114596,0.8852913170779918
TOI-1298 b,-0.19804373817207943,-1.8858171204329703,-0.4892948431884116,0.9316784677151104
TOI-132 b,-1.2005218179916846,-0.8681630490234103,-0.0910332207624264,0.14020546867995737
TOI-1333 b,0.29381957037837303,-2.744186908068006,-0.14288561283268247,-0.07240768272959307
TOI-1346 b,-1.3222097047982666,-0.1957595510392673,0.28563703606004537,-0.43293531513921674
TOI-1346 c,-0.6870072679041728,0.3780542777171599,0.0918503990076681,-0.3539359958552357
TOI-1347 b,-1.721102968946403,-0.4960302665254783,-0.4798304795553948,-0.1825828274341303
TOI-1347 c,-0.8960447437865438,0.1707294017177535,-0.6013922452077932,-0.18710234223967553
TOI-1386 b,1.39923914710512,0.21675395483161072,-0.8855106233178449,0.4369282087251539
TOI-139 b,-0.3379607616602121,1.3415673266054782,-0.41194661561298956,-0.7874979083177838
TOI-1408 b,-0.029022416309789394,-2.6574607683015046,-0.481460764821984,0.606893991917324
TOI-1408 c,-0.5385664311652455,-1.9822157977933863,0.15304166269571493,-0.2823379711952176
TOI-1410.01,-1.634987064516818,-0.41352671101329136,-0.3195191088094876,0.9061806052768101
TOI-1411 b,-1.8456227981009719,0.6534730507795055,-0.44157235058486116,-0.16634528048722344
TOI-1416 b,-1.758199322305708,-0.4551561707121844,-0.5249670759966031,-0.1777480525313669
TOI-1420 b,-0.017599298504943937,-0.49401734990556445,0.5919173608353514,0.7040025610860833
TOI-1431 b,-0.0607431108185566,-3.744737887880276,-0.6414510140117775,-0.2525422220054691
TOI-1437 b,1.148327905399933,0.30248655653795786,-0.09603450486413131,-2.3016308046601734
TOI-1438 b,-0.7574835456804607,0.01339653342633855,-0.5877366595734274,-0.16126685515460376
TOI-1438 c,-0.22818383379201093,0.3389705950007706,-0.674382836781956,-0.1283308727879916
TOI-1439 b,2.159048612701869,-0.6837772277641883,-0.0984641496466976,0.06386106976804326
TOI-1442 b,-2.631496269797687,1.4639724479876317,-0.313429743501583,-0.22820667567741018
TOI-1443 b,0.7367507373011636,1.3180671506066322,-0.9125459998896686,-0.9411960637439858
TOI-1444 b,-1.9056406450148795,-1.2624298416841666,-0.5764088294830614,-0.16454876182438782
TOI-1448 b,-0.5259893786589444,1.7225122942405788,2.0640370358245836,1.2151096811598363
TOI-1450 A b,-1.8764651899900455,1.4560348295377392,-0.33618111885957475,-0.412789435257296
TOI-1451 b,0.6300567611022007,0.2118439466280637,-0.8729128833416633,-0.26098039897832565
TOI-1452 b,-1.1381006023281885,2.6598637952782833,-0.3699089004003265,0.18809618963331468
TOI-1453 b,-1.1857102103225976,0.7212114236673592,-0.6965010000426619,-1.349507657697182
TOI-1453 c,-0.7217449323058677,0.8852708514092534,-0.7407629235622302,-1.220767527691506
TOI-1468 b,-2.032637049032261,1.6195937009500456,-0.23465566885255157,0.13233843981796192
TOI-1468 c,-0.43520102853724457,2.4066686159002293,0.20958603856997018,0.15937902505681664
TOI-1470 b,-1.2829724199434491,1.2560507814947468,1.5593313807668083,-0.1719731406496806
TOI-1470 c,0.5574919720822399,2.1304224555173055,2.562933178628248,-0.2920184219998298
TOI-1472 b,-0.47146702230437293,-0.129393157223379,-0.23966664538479207,0.6713103991543028
TOI-150.01,0.6069798704120545,-2.243493553316847,1.1268836357162735,0.3912592734127961
TOI-1516 b,-0.5999195068892788,-2.016214141494302,-0.23407740930054827,-0.25188350346650457
TOI-1533 b,-0.9407597357384408,-0.3855467632200859,-0.44884487225613157,0.5684702055718965
TOI-1533 c,-0.25336891862230043,-0.1847298275759888,-0.49170281926509046,0.7816770042584807
TOI-157 b,-0.8923476135230978,-1.7895268535872304,-0.31881925197020144,0.7545696629737215
TOI-159 b,0.39719406642604893,-3.0079144803046307,1.001216942500151,0.41704853579419515
TOI-1601 b,0.3929214195245838,-2.957476990404858,-0.6026224077300374,0.5784421411468147
TOI-163 b,-0.02544430100654627,-2.5407246815727307,-0.5412918845434349,0.41046465203609156
TOI-1634 b,-2.1342009854543647,0.9205117195485681,-0.22060034860463493,0.8736193715909704
TOI-1648 b,-0.25320600412049493,0.2367781744475623,0.5395975700036137,0.20164627712274547
TOI-1669 c,-1.004186743551017,-0.9765300081451066,-0.5339854726953871,0.38159468661515705
TOI-1670 b,1.289317510347411,-0.7587478202152946,2.860291198524663,-0.9150760330358287
TOI-1670 c,2.772071998641926,-0.15443017445102566,-0.5576999315367267,0.22893921806085685
TOI-1680 b,-1.522679133988463,2.525881727041805,1.1401918085603109,0.3795481434097281
TOI-1683.01,-1.2097750438623291,0.30813811759528303,-0.0006398227519903617,0.15983983190073286
TOI-1685 b,-2.231508228904712,0.8214864208964731,-0.2995771053354978,-0.0015462993362200727
TOI-169 b,-0.7472230874204587,-2.0892256408514376,-0.41303329445394993,0.5787732254170102
TOI-1693 b,-1.8500742386242308,1.3118721688616068,0.06202735989592498,-0.06261537792637348
TOI-1694 b,-0.7802066280247225,-0.10878510405515057,0.3145128410813885,-0.04512439669051614
TOI-1695 b,-1.42068602196101,1.2099406912004116,0.24083077972582104,-0.018409736060407883
