pl_name,PC1,PC2,PC3,PC4,Cluster_K2,Familia_Planeta
HIP 97166 b,0.3397796202711554,0.2239070975190969,1.2065247192439914,0.302767107175261,0,Familia 0 (Población Estándar)
HR 858 b,-0.679331833885805,-1.2666392008040377,-0.8044035215145656,-0.7453776755269864,0,Familia 0 (Población Estándar)
HR 858 c,-0.2670985243537196,-0.9503203183576974,-0.852725745487513,-0.7002359571728084,0,Familia 0 (Población Estándar)
HR 858 d,0.3875519677258366,-0.6131992266635214,-0.940154112785208,-0.6030800840106365,0,Familia 0 (Población Estándar)
L 168-9 b,-1.953402135595874,0.876054763498997,-0.3737388454612158,-0.0719632767219602,0,Familia 0 (Población Estándar)
L 98-59 b,-2.100480154645406,2.3222659972255424,-0.2810060035280302,-1.39072867112478,0,Familia 0 (Población Estándar)
L 98-59 c,-1.856168287822804,2.4133669123825388,-0.4408412060748628,-1.2377442331254906,0,Familia 0 (Población Estándar)
L 98-59 d,-1.4059315011286195,2.668059542015899,-0.4763323190940701,-1.2117232842970278,0,Familia 0 (Población Estándar)
LHS 1478 b,-2.13368224684478,2.0621284302391167,-0.1488439269136933,-0.2043906455433455,0,Familia 0 (Población Estándar)
LHS 1678 b,-2.350931256847353,1.4778358729168832,-0.0990490865902126,0.0557968424724171,0,Familia 0 (Población Estándar)
LHS 1678 c,-1.7221684858564212,2.083039378213421,-0.1444651270002196,-0.3132606213805589,0,Familia 0 (Población Estándar)
LHS 1678 d,-1.5619586965647514,2.203136668727696,-0.1591449452555934,-0.1217389226421352,0,Familia 0 (Población Estándar)
LHS 1815 b,-1.6128149104162717,1.5708778020806988,-0.4534921534163672,-0.4066706317866995,0,Familia 0 (Población Estándar)
LHS 1903 b,-1.7744057509407598,1.1938682132718048,-0.3253712281931707,-0.3693936038013122,0,Familia 0 (Población Estándar)
LHS 1903 c,-0.9929676449705056,1.5840952801052703,0.0837340022278593,-0.3418426265546483,0,Familia 0 (Población Estándar)
LHS 1903 d,-0.330357714498287,1.870857978953058,0.1382351131600912,-0.2866375851827735,0,Familia 0 (Población Estándar)
LHS 3844 b,-2.7297537801937337,1.815174157554733,-0.1007941464567705,1.1005457148750355,0,Familia 0 (Población Estándar)
LP 714-47 b,-1.0955923177948512,0.48931694193231,0.0484052583819259,1.5031576939678843,0,Familia 0 (Población Estándar)
LP 791-18 b,-2.548983327857287,2.381788407100916,0.0640431935757325,0.1995252503938448,0,Familia 0 (Población Estándar)
LP 791-18 c,-1.9033047318945209,2.7180221146552785,-0.1696303427656562,0.3584482387340943,0,Familia 0 (Población Estándar)
LP 890-9 b,-1.8685141510268304,2.705342263718391,1.4425865590917994,0.2919480385340071,0,Familia 0 (Población Estándar)
LTT 1445 A b,-1.371163998417938,2.533196571525952,1.1403013929464318,-0.1231465453746516,0,Familia 0 (Población Estándar)
LTT 1445 A c,-1.678967863252419,2.4854199563043493,1.0101648309241795,-1.0742025890292466,0,Familia 0 (Población Estándar)
LTT 3780 b,-2.35050963991902,1.2582098139298925,-0.2717795337080189,0.3165118414556007,0,Familia 0 (Población Estándar)
LTT 3780 c,-0.7190759600554845,2.184710995368413,-0.2477657215345022,0.5343423861314376,0,Familia 0 (Población Estándar)
LTT 9779 b,-1.506770593390752,-1.6852294718290433,-0.4357240616501119,0.4753085425691812,0,Familia 0 (Población Estándar)
NGTS-11 b,1.896373166659268,0.7760292022534656,-0.0001151496123544,0.8764447030746781,0,Familia 0 (Población Estándar)
NGTS-20 b,4.465455334510836,-1.018562189984519,1.3564128307757726,-0.1761469243260118,1,Familia 1 (Población Exótica/Atípica)
NGTS-27 b,-0.3938952627088153,-2.316572318300128,-0.5863972760389868,-0.3745112240579283,0,Familia 0 (Población Estándar)
NGTS-30 b,4.684820187434775,1.2306159455740464,0.3255157527101019,-0.0063991333184547,1,Familia 1 (Población Exótica/Atípica)
NGTS-31 b,-0.2603714152935578,-1.458343387995882,-0.4930428116967509,0.0500996427586191,0,Familia 0 (Población Estándar)
NGTS-33 b,-0.2299033030094183,-2.766659654358983,-0.6019191126498564,-0.5953839864579169,0,Familia 0 (Población Estándar)
NGTS-34 b,2.721138146914193,-0.1054580170821006,-1.0209961940519994,0.2702301064748663,1,Familia 1 (Población Exótica/Atípica)
NGTS-35 b,1.336521337859755,0.855401925189448,0.5365008434329134,0.4976243919403163,0,Familia 0 (Población Estándar)
NGTS-38 b,7.929689761353997,0.3836022893389261,-0.2491299567602674,1.056631256557164,1,Familia 1 (Población Exótica/Atípica)
